manga_id,title,type,score,status,genres_Action,genres_Comedy,genres_Drama,genres_Fantasy,genres_Romance,themes_School,demographics_Seinen,demographics_Shoujo,demographics_Shounen,score,log_scored_by,log_members,log_favorites,Content_Others
11514,Otoyomegatari,manga,8.56,currently_publishing,0,0,0,0,1,0,1,0,0,0.6315789473684208,0.6073965541519898,0.6525344092332099,0.6705031437689654,1
31,Lovely★Complex,manga,8.33,finished,0,1,1,0,1,1,0,1,0,0.5384615384615383,0.6734934536380613,0.6359338124575062,0.6775544112529994,1
85,Azumanga Daioh,manga,8.36,finished,0,1,0,0,0,1,0,0,0,0.5506072874493921,0.658136826095108,0.6039023515175943,0.6936655817339749,1
436,Uzumaki,manga,8.17,finished,0,0,1,0,0,0,1,0,0,0.4736842105263155,0.8537630715781516,0.8275552662288004,0.8175608869936739,1
3731,Solanin,manga,8.23,finished,0,0,1,0,0,0,1,0,0,0.49797570850202444,0.7355452357599578,0.7271255601760784,0.7314623628813643,1
756,Banana Fish,manga,8.62,finished,1,0,1,0,0,0,0,1,0,0.6558704453441289,0.5917603204986034,0.6137043626069596,0.6605757003262152,1
123992,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,light_novel,8.87,currently_publishing,0,0,1,0,0,1,0,0,0,0.7570850202429145,0.5810192965027169,0.5387905472305083,0.6535553521136137,1
658,Mugen no Juunin,manga,8.43,finished,1,0,1,0,0,0,1,0,0,0.5789473684210522,0.624442609958712,0.672390603358882,0.6818238289445604,1
124845,Sweet Home,manhwa,8.26,finished,1,0,1,0,0,0,0,0,0,0.5101214574898782,0.7088352996699901,0.6573423351129251,0.6718080578772155,1
93516,SQ: Begin W/Your Name!,manhua,8.36,finished,0,1,0,0,0,1,0,0,0,0.5506072874493921,0.6510334227574829,0.633144864811849,0.6636986544142063,1
36413,Hinamatsuri,manga,8.47,finished,0,1,0,0,0,0,1,0,0,0.5951417004048585,0.6156667992870587,0.6100169485135187,0.6507136031738593,1
3008,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,manga,8.18,finished,1,0,0,0,0,0,0,0,1,0.47773279352226705,0.7845318655426029,0.7230148966943251,0.733617229065308,1
135496,Dandadan,manga,8.27,currently_publishing,1,1,0,0,0,0,0,0,1,0.5141700404858294,0.7018287908230146,0.723413250353433,0.7148961341798976,1
61189,Mahoutsukai no Yome,manga,8.35,currently_publishing,0,0,0,1,0,0,0,0,1,0.546558704453441,0.6524060281791989,0.6936946781579025,0.7075026666844234,0
14236,Love So Life,manga,8.31,finished,0,0,0,0,1,0,0,1,0,0.5303643724696356,0.6626799352819644,0.628343780162637,0.6427011535643262,1
1061,Detective Conan,manga,8.29,currently_publishing,0,1,0,0,0,0,0,0,1,0.5222672064777321,0.67907016881349,0.6254862587723684,0.7376015470706933,1
10552,Hoshi no Samidare,manga,8.35,finished,1,0,0,0,0,0,1,0,0,0.546558704453441,0.6473646584467229,0.6244465565720663,0.6911073687527867,1
30079,Annarasumanara,manhwa,8.28,finished,0,0,1,0,1,1,1,0,0,0.5182186234817809,0.6784210762466573,0.6483489211230198,0.6785115232599594,1
99007,"Komi-san wa, Comyushou desu.",manga,8.15,currently_publishing,0,1,0,0,0,1,0,0,1,0.4655870445344128,0.8268659264787354,0.850271125501006,0.8097664736211253,1
27231,Hirunaka no Ryuusei,manga,8.21,finished,0,0,0,0,1,1,0,1,0,0.48987854251012175,0.7282188657949916,0.6977895083889911,0.738671922026266,1
26736,Taiyou no Ie,manga,8.23,finished,0,0,1,0,1,0,0,1,0,0.49797570850202444,0.7136808471986374,0.6975231502720909,0.697266351826655,1
104241,Mairimashita! Iruma-kun,manga,8.34,currently_publishing,0,1,0,1,0,0,0,0,1,0.5425101214574894,0.6451775302414898,0.6134998477413074,0.6865914825458066,1
838,Angel Densetsu,manga,8.3,finished,1,1,0,0,1,1,0,0,1,0.5263157894736841,0.6583161133365182,0.6169832249633265,0.657726765567142,1
11054,Billy Bat,manga,8.47,finished,0,0,1,0,0,0,1,0,0,0.5951417004048585,0.6036357740634447,0.6284207845996728,0.6490401370970208,1
24294,Ao Haru Ride,manga,8.14,finished,0,0,0,0,1,1,0,1,0,0.4615384615384617,0.821857806004579,0.8040090706954848,0.7769499177980388,0
93753,Vanitas no Karte,manga,8.5,currently_publishing,0,0,0,1,0,0,0,0,1,0.6072874493927123,0.5942386505304081,0.6333867061748564,0.6954471395499153,1
